Mun;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;Total
150276 Cumaru do Norte;4.0;5.0;0.0;1.0;0.0;0.0;0.0;10.0
150277 Curionópolis;3.0;6.0;2.0;1.0;0.0;0.0;0.0;12.0
150280 Curralinho;4.0;7.0;0.0;1.0;0.0;0.0;0.0;12.0
150285 Curuá;4.0;6.0;0.0;0.0;0.0;0.0;0.0;10.0
150290 Curuçá;1.0;14.0;0.0;1.0;0.0;0.0;0.0;16.0
150293 Dom Eliseu;0.0;13.0;0.0;3.0;0.0;0.0;0.0;16.0
150295 Eldorado dos Carajás;2.0;5.0;2.0;1.0;0.0;0.0;0.0;10.0
150300 Faro;3.0;4.0;0.0;0.0;0.0;0.0;0.0;7.0
150304 Floresta do Araguaia;2.0;7.0;0.0;1.0;0.0;0.0;0.0;10.0
150307 Garrafão do Norte;14.0;0.0;0.0;1.0;0.0;0.0;0.0;15.0
150309 Goianésia do Pará;7.0;10.0;0.0;0.0;0.0;0.0;0.0;17.0
150310 Gurupá;12.0;6.0;0.0;1.0;0.0;0.0;0.0;19.0
150320 Igarapé-Açu;0.0;15.0;0.0;1.0;0.0;0.0;0.0;16.0
150330 Igarapé-Miri;1.0;13.0;0.0;2.0;0.0;0.0;0.0;16.0
150340 Inhangapi;3.0;6.0;0.0;1.0;0.0;0.0;0.0;10.0
150345 Ipixuna do Pará;2.0;19.0;0.0;2.0;0.0;0.0;0.0;23.0
150350 Irituia;13.0;0.0;0.0;1.0;0.0;0.0;0.0;14.0
150360 Itaituba;0.0;25.0;2.0;7.0;0.0;0.0;0.0;34.0
150370 Itupiranga;11.0;2.0;1.0;1.0;0.0;0.0;0.0;15.0
150375 Jacareacanga;4.0;3.0;0.0;0.0;0.0;0.0;0.0;7.0
150380 Jacundá;2.0;10.0;0.0;4.0;0.0;0.0;0.0;16.0
150390 Juruti;2.0;13.0;0.0;2.0;0.0;0.0;0.0;17.0
150400 Limoeiro do Ajuru;10.0;9.0;0.0;1.0;0.0;0.0;0.0;20.0
150405 Mãe do Rio;2.0;8.0;3.0;1.0;0.0;0.0;0.0;14.0
150410 Magalhães Barata;5.0;5.0;0.0;0.0;0.0;0.0;0.0;10.0
150420 Marabá;9.0;15.0;12.0;6.0;2.0;0.0;0.0;44.0
150430 Maracanã;9.0;11.0;0.0;1.0;0.0;0.0;0.0;21.0
150440 Marapanim;11.0;8.0;0.0;1.0;0.0;0.0;0.0;20.0
150442 Marituba;0.0;18.0;0.0;2.0;0.0;0.0;0.0;20.0
150445 Medicilândia;1.0;7.0;0.0;0.0;0.0;0.0;0.0;8.0
150450 Melgaço;4.0;6.0;0.0;0.0;0.0;0.0;0.0;10.0
150460 Mocajuba;1.0;9.0;0.0;1.0;0.0;0.0;0.0;11.0
150470 Moju;1.0;12.0;0.0;1.0;0.0;0.0;0.0;14.0
150475 Mojuí dos Campos;3.0;12.0;0.0;0.0;0.0;0.0;0.0;15.0
150480 Monte Alegre;16.0;10.0;0.0;1.0;0.0;0.0;0.0;27.0
150490 Muaná;5.0;6.0;0.0;1.0;0.0;0.0;0.0;12.0
150495 Nova Esperança do Piriá;2.0;4.0;0.0;1.0;0.0;0.0;0.0;7.0
150497 Nova Ipixuna;6.0;0.0;0.0;1.0;0.0;0.0;0.0;7.0
150500 Nova Timboteua;1.0;9.0;0.0;0.0;0.0;0.0;0.0;10.0
150503 Novo Progresso;5.0;9.0;2.0;2.0;0.0;0.0;0.0;18.0
150506 Novo Repartimento;20.0;1.0;6.0;1.0;0.0;0.0;0.0;28.0
150510 Óbidos;1.0;15.0;0.0;1.0;0.0;0.0;0.0;17.0
150520 Oeiras do Pará;9.0;5.0;0.0;1.0;0.0;0.0;0.0;15.0
