Mun;Assistente Social;Enfermeiro;Fisioterapeuta;Fonoaudiólogo;Nutricionista;Odontólogo;Psicólogo;Psiquiatra;Total
110100 Governador Jorge Teixeira;1.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;8.0
110010 Guajará-Mirim;4.0;36.0;4.0;1.0;3.0;14.0;2.0;0.0;64.0
110110 Itapuã do Oeste;0.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;5.0
110011 Jaru;9.0;41.0;15.0;5.0;7.0;55.0;14.0;0.0;146.0
110012 Ji-Paraná;19.0;113.0;45.0;12.0;13.0;111.0;52.0;0.0;365.0
110013 Machadinho D'Oeste;3.0;22.0;1.0;1.0;2.0;6.0;2.0;0.0;37.0
110120 Ministro Andreazza;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;4.0
110130 Mirante da Serra;1.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;7.0
110140 Monte Negro;1.0;12.0;2.0;0.0;1.0;0.0;1.0;0.0;17.0
110014 Nova Brasilândia D'Oeste;1.0;10.0;4.0;1.0;2.0;4.0;2.0;0.0;24.0
110033 Nova Mamoré;0.0;17.0;8.0;2.0;1.0;1.0;1.0;0.0;30.0
110143 Nova União;0.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0
110050 Novo Horizonte do Oeste;0.0;5.0;1.0;0.0;0.0;0.0;1.0;0.0;7.0
110015 Ouro Preto do Oeste;3.0;23.0;8.0;1.0;4.0;12.0;5.0;1.0;57.0
110145 Parecis;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0
110018 Pimenta Bueno;6.0;30.0;18.0;0.0;4.0;34.0;19.0;0.0;111.0
110146 Pimenteiras do Oeste;2.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0
110020 Porto Velho;127.0;1076.0;353.0;120.0;131.0;335.0;191.0;16.0;2349.0
110025 Presidente Médici;5.0;20.0;5.0;0.0;1.0;9.0;3.0;0.0;43.0
110147 Primavera de Rondônia;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0
110026 Rio Crespo;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0
110028 Rolim de Moura;4.0;37.0;16.0;2.0;2.0;16.0;14.0;0.0;91.0
110029 Santa Luzia D'Oeste;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
110148 São Felipe D'Oeste;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
110149 São Francisco do Guaporé;4.0;25.0;8.0;0.0;2.0;2.0;4.0;0.0;45.0
110032 São Miguel do Guaporé;3.0;10.0;4.0;1.0;1.0;0.0;4.0;0.0;23.0
